Similarity,Y_Comparison
0.9487413559134623,1.0
1.085919694804983e-12,-1.0
0.9763607912736854,1.0
0.9354718660246817,1.0
0.0011938821052284072,-1.0
0.8268379062240083,1.0
0.9644818862565377,1.0
0.9694209178655495,1.0
0.9661399549229743,1.0
1.9560052770900436e-08,-1.0
0.972308204880139,1.0
0.977965966218546,1.0
0.9717523672732226,1.0
0.9496649609897008,1.0
0.8964276384507099,1.0
1.450981381743013e-22,-1.0
1.6394831784800527e-20,-1.0
0.9737919617878107,1.0
0.9574168485414206,1.0
1.1967405501422061e-16,-1.0
0.9752818262880923,1.0
0.8680615168959335,1.0
0.8235631702528909,1.0
0.9448429531992033,1.0
2.86692860028685e-13,-1.0
0.9804187252046277,1.0
0.9260772567018215,1.0
0.9721628922607592,1.0
4.243606045951247e-21,-1.0
0.9735150221485038,1.0
2.793067011700002e-20,-1.0
0.9692460251899019,1.0
0.969571420837505,1.0
1.9637128116666064e-20,-1.0
3.906972071601665e-29,-1.0
0.9727509803767971,1.0
1.186132241001789e-28,-1.0
0.974483783622549,1.0
0.9669532391676708,1.0
1.9722278847339346e-37,-1.0
1.3611598893122594e-38,-1.0
0.9566800307805695,1.0
0.9682563693563614,1.0
2.7459872560524403e-24,-1.0
0.9588398843399367,1.0
3.1204001220062656e-09,-1.0
1.90585612289596e-20,-1.0
0.4113036390406236,-1.0
0.9748773245693045,1.0
6.710202070567528e-32,-1.0
1.1989383170576723e-38,-1.0
0.8954906396245451,1.0
1.2773200020758896e-10,-1.0
8.09138897753412e-13,-1.0
0.9573865043901693,1.0
1.9058371203630595e-18,-1.0
5.465466839886497e-21,-1.0
4.201121214510303e-15,-1.0
0.9318667532766675,1.0
0.9728621388172424,1.0
1.93101607685388e-22,-1.0
8.135566300701664e-24,-1.0
0.9414578345888046,1.0
1.1099425375696263e-21,-1.0
0.9402827768934257,1.0
4.0923737199768154e-25,-1.0
0.9786095317592077,1.0
0.9551048538421123,1.0
8.905499680950975e-20,-1.0
1.4068432330783643e-24,-1.0
0.9264427751161719,1.0
0.9659332515285469,1.0
0.8942274484486478,1.0
7.888918006902466e-05,-1.0
0.9486497519266637,1.0
0.9033592457406399,1.0
0.9667130330139303,1.0
0.975029523325067,1.0
1.2764717070282175e-12,-1.0
0.9738441570118028,1.0
0.9637933067604576,1.0
4.816409032248413e-24,-1.0
4.212378540158985e-43,-1.0
4.383769932745775e-18,-1.0
0.9764748134853554,1.0
1.1142144113369379e-41,-1.0
0.9695085689753415,1.0
0.893569736110399,-1.0
1.416104049829152e-11,-1.0
0.7788181402594502,1.0
1.1446868102219382e-79,-1.0
0.9795254451896905,1.0
0.9582372596116823,1.0
2.4389417897936886e-08,-1.0
0.8897205478464745,1.0
0.967980367654939,1.0
1.344837477180304e-29,-1.0
1.2887119741909077e-16,-1.0
0.9655507461668443,1.0
3.930989761058166e-06,-1.0
0.9543180982179549,1.0
0.9060969866232567,1.0
0.9569019766771377,1.0
9.708048481550125e-33,-1.0
0.9700347750681765,1.0
1.0537448655907811e-39,-1.0
0.9205621727471738,1.0
0.9582921662304942,1.0
0.07913163744154181,1.0
0.9164770463022682,1.0
0.9746022388090089,1.0
0.1064287981438616,-1.0
